value,trat
1.91,WCc
1.91,WCc
1.9,DC
1.9,WCc
1.9,WCt
1.89,DC
1.89,WCt
1.89,WCt
1.88,WCt
1.87,DC
1.87,WCt
1.86,WCc
1.86,WCc
1.86,WCt
1.86,WCt
1.86,WCt
1.85,DC
1.84,WCt
1.83,DC
1.83,WCt
1.82,WCt
1.8,WCc
1.8,WCc
1.8,WCc
1.8,WCc
1.8,WCc
1.8,WCt
1.72,DC
1.71,WCt
1.71,WCt
1.7,DC
1.7,WCc
1.68,WCc
1.68,WCc
1.68,WCc
1.68,WCc
1.63,DC
1.62,WCc
1.62,WCc
1.62,WCt
1.62,WCt
1.62,WCt
1.61,WCt
1.6,WCt
1.57,WCc
1.53,WCt
1.53,WCt
1.51,WCc
1.44,WCt
1.4,WCc
1.38,WCt
1.3,DC
1.28,WCt
1.17,WCc
1.07,WCc
1,DC
0.9,WCc
0.9,WCt
0.63,WCt
0.6,DC
0.6,DC
0.6,WCc
0.6,WCc
0.54,WCt
0.5,DC
0.5,WCc
0.5,WCc
0.45,WCt
0.45,WCt
0.4,DC
