val$id;obsDC;model;extrapolation;predict
175;4.28;Random forest;FALSE;4.678576667
180;4.03;Random forest;FALSE;4.115289333
181;5.14;Random forest;FALSE;3.994221667
182;4.1;Random forest;FALSE;4.153293667
187;3.13;Random forest;FALSE;3.403153
188;3.78;Random forest;FALSE;2.900928
190;4.04;Random forest;FALSE;2.952924
193;3.67;Random forest;FALSE;4.940026667
198;2.07;Random forest;FALSE;2.930010667
199;2.98;Random forest;FALSE;4.434360667
205;5.05;Random forest;FALSE;5.337338333
212;5.3;Random forest;FALSE;4.361617
213;4.09;Random forest;FALSE;4.730800333
214;6.29;Random forest;FALSE;3.578455333
221;1.85;Random forest;FALSE;3.290409333
223;4.23;Random forest;FALSE;4.441724333
224;3.04;Random forest;FALSE;2.955858333
225;1.3;Random forest;FALSE;3.797006
226;4.72;Random forest;FALSE;4.776803667
227;2.57;Random forest;FALSE;2.945939
229;3.22;Random forest;FALSE;2.986043333
232;1.72;Random forest;FALSE;2.945255
235;3.02;Random forest;FALSE;3.254145667
241;1.93;Random forest;FALSE;2.850171667
247;1.92;Random forest;FALSE;2.641818667
253;6.5;Random forest;FALSE;3.084654333
254;3.43;Random forest;FALSE;2.892682
267;2;Random forest;FALSE;2.793221333
281;4.54;Random forest;FALSE;3.897999667
285;2.74;Random forest;FALSE;2.795983667
290;2.7;Random forest;FALSE;4.175576
294;4.85;Random forest;FALSE;3.885756333
297;4.19;Random forest;FALSE;5.603635333
301;1.7;Random forest;FALSE;5.235971333
305;2.9;Random forest;FALSE;4.618138
306;3.91;Random forest;FALSE;4.013813667
309;3.25;Random forest;FALSE;3.621430667
310;2.96;Random forest;FALSE;3.208651667
311;5.35;Random forest;FALSE;5.819660333
312;5.81;Random forest;FALSE;3.796630667
320;6.6;Random forest;FALSE;7.980775667
322;4.78;Random forest;FALSE;7.094989
325;3.21;Random forest;FALSE;3.067102333
326;3.61;Random forest;FALSE;2.954882
329;3.45;Random forest;FALSE;2.880455333
332;3.55;Random forest;FALSE;3.114645
333;3.82;Random forest;FALSE;3.329603667
334;2.45;Random forest;FALSE;3.983394667
338;5.19;Random forest;FALSE;4.062399667
344;2.58;Random forest;FALSE;4.403391667
346;4.02;Random forest;FALSE;2.774978333
349;2.37;Random forest;FALSE;3.867272667
353;2.5;Random forest;FALSE;4.834747667
357;2.24;Random forest;FALSE;2.987077667
358;3;Random forest;FALSE;3.580600333
359;2.76;Random forest;FALSE;4.024993333
361;2.92;Random forest;FALSE;3.091866667
365;3;Random forest;FALSE;2.963537
367;3.85;Random forest;FALSE;3.630968
370;2.43;Random forest;FALSE;3.575222667
371;5.08;Random forest;FALSE;3.452826333
380;2.67;Random forest;FALSE;2.694701
381;4.4;Random forest;FALSE;4.982419
382;2.08;Random forest;FALSE;3.369096333
383;3.11;Random forest;FALSE;2.965103
385;9.4;Random forest;FALSE;4.450759667
388;5;Random forest;FALSE;4.184366667
